UF,MUNICIPIO,NO_FANTASIA,CO_CNES,notificacoes
MG,BELO HORIZONTE,HOSPITAL INFANTIL JOAO PAULO II,26948,11
MG,GUANHAES,HOSPITAL REGIONAL IMACULADA CONCEICAO,2144530,11
MG,JUIZ DE FORA,DEPARTAMENTO DA UNIDADE REGIONAL LESTE,2221616,11
MG,MONTE CARMELO,PRONTO SOCORRO MUNICIPAL DE MONTE CARMELO,2206420,11
MT,ARIPUANA,HOSPITAL MUNICIPAL SANTO ANTONIO ARIPUANA,4069099,11
MT,DIAMANTINO,CENTRO DE ESPECIALIDADE MEDICA DE DIAMANTINO,7960352,11
PA,BELEM,HOSPITAL MUNICIPAL DE MOSQUEIRO,4005759,11
PA,BELEM,HOSPITAL ONCOLOGICO INFANTIL OCTAVIO LOBO,7871902,11
PA,BELEM,HOSPITAL PEDIATRICO UNIMED,9247815,11
PA,BOM JESUS DO TOCANTINS,HOSPITAL E MATERNIDADE POPULAR,2678624,11
PA,PLACAS,HOSPITAL MUNICIPAL DE PLACAS,3654796,11
PB,JOAO PESSOA,HOSPITAL INFANTIL ARLINDA MARQUES,2399318,11
PE,GARANHUNS,HOSPITAL MONTE SINAI,3268020,11
PE,IPOJUCA,SECRETARIA MUNICIPAL DE SAUDE DO IPOJUCA,6561985,11
PE,NAZARE DA MATA,HOSPITAL ERMIRIO COUTINHO,2711958,11
PE,RECIFE,IMIP HOSPITALAR,2752743,11
PR,IRATI,SANTA CASA DE IRATI,2783789,11
PR,SAO JOAO DO IVAI,HOSPITAL MUNICIPAL DE SAO JOAO DO IVAI,5412293,11
PR,TAMBOARA,HOSPITAL MUNICIPAL JOAO ALEXANDRE,2753901,11
PR,TELEMACO BORBA,IDF,2740435,11
RJ,RIO DE JANEIRO,CLIMES CLINICA MEDICA,3085384,11
RJ,RIO DE JANEIRO,SAO CARLOS SAUDE ONCOLOGICA,3009947,11
RJ,RIO DE JANEIRO,SMS UPA 24H MADUREIRA AP 33,6661904,11
RN,EXTREMOZ,HOSPITAL E MATERNIDADE PRESIDENTE CAFE FILHO,2409283,11
RN,MACAIBA,UNIDADE DE PRONTO ATENDIMENTO MACAIBA UPA,6742017,11
RO,ALTA FLORESTA D'OESTE,HOSPITAL MUNICIPAL VANESSA E VANIA FUZARI,2679477,11
RR,BOA VISTA,HOSPITAL UNIMED DE BOA VISTA,6185177,11
RS,CACHOEIRINHA,HOSPITAL DE CAMPANHA COVID 19,130419,11
RS,CANDELARIA,PAM DE CANDELARIA,2235919,11
RS,PORTAO,HOSPITAL DE PORTAO,2232170,11
RS,PORTO ALEGRE,AESC HOSPITAL SANTA ANA,6295320,11
RS,SAO LEOPOLDO,VIGILANCIA SANITARIA,4067371,11
RS,SAO MARCOS,HOSPITAL BENEFICENTE SAO JOAO BOSCO,2241226,11
RS,TRES DE MAIO,HOSPITAL SAO VICENTE DE PAULO,2250837,11
SC,POMERODE,HOSPITAL E MATERNIDADE RIO DO TESTO,2513838,11
SC,SAO JOAO BATISTA,HOSPITAL MONSENHOR JOSE LOCKS DE SAO JOAO BATISTA,2418967,11
SP,ASSIS,SANTA CASA DE ASSIS,2081083,11
SP,BRAGANCA PAULISTA,VIGILANCIA EPIDEMIOLOGICA CONTROLE DOENCAS,2688123,11
SP,CAMPINAS,VIGILANCIA EM SAUDE LESTE,2023563,11
SP,ITAPUI,HOSPITAL SAO JOSE,2079224,11
SP,ITIRAPINA,HOSPITAL SAO JOSE ITIRAPINA,2798239,11
SP,MINEIROS DO TIETE,PRONTO ATENDIMENTO MUNICIPAL DE MINEIROS DO TIETE,4048725,11
SP,SAO CARLOS,HOSPITAL UNIMED SAO CARLOS,2083299,11
SP,SAO JOSE DO RIO PRETO,HOSPITAL DO CORACAO DO IMC,2080761,11
SP,SAO LUIS DO PARAITINGA,SANTA CASA DE MISERICORDIA DE SAO LUIZ DO PARAITINGA,2079690,11
SP,SAO PAULO,AMA ENGENHEIRO GOULART DR JOSE PIRES,6143180,11
SP,SAO PAULO,HOSPITAL E PRONTO ATENDIMENTO SANCTA MAGGIORE,7174713,11
SP,TAQUARITINGA,SANTA CASA DE TAQUARITINGA,2078295,11
BA,CAMACARI,UPA 24HS GLEBA A GRAVATA,7636822,10
BA,EUNAPOLIS,HOSPITAL AMES,2507455,10
BA,EUNAPOLIS,HOSPITAL DE TRATAMENTO COVID19 CENTRO ATEND DE EUNAPOLIS,2556510,10
BA,ITAPARICA,HOSPITAL GERAL DE ITAPARICA,2602083,10
BA,ITATIM,HOSPITAL MATERNIDADE MARIA EUNICE DULTRA SOARES,2444704,10
BA,MEDEIROS NETO,HOSPITAL MUNICIPAL DE MEDEIROS NETO,4028740,10
BA,NOVA VICOSA,HOSPITAL MUNICIPAL DE NOVA VICOSA,2506254,10
BA,SALVADOR,UNIDADE DE EMERGENCIA MAE HILDA JITOLU,7587,10
BA,SAO SEBASTIAO DO PASSE,HOSPITAL DR ALBINO LEITAO,2493330,10
CE,CATARINA,HOSPITAL MUNICIPAL DR GENTIL DOMINGUES,2333864,10
CE,FARIAS BRITO,HOSPITAL GERAL DE FARIAS BRITO HGFB,2372479,10
CE,JARDIM,HOSPITAL MUNICIPAL DE JARDIM,2425599,10
CE,JUAZEIRO DO NORTE,HOSPITAL GERAL PADRE CICERO,2426099,10
CE,MERUOCA,HOSPITAL CHAGAS BARRETO,2561069,10
CE,SAO LUIS DO CURU,HOSPITAL MUNICIPAL ANTONIO RIBEIRO DA SILVA,2562200,10
CE,URUBURETAMA,HOSP MUNIC ANTONIO NERY FILHO,2560836,10
ES,CACHOEIRO DE ITAPEMIRIM,HECI HOSPITAL EVANGELICO DE CACHOEIRO DE ITAPEMIRIM,2547821,10
ES,VILA VELHA,VIGILANCIA EPIDEMIOLOGICA VILA VELHA,2445069,10
ES,VITORIA,SERVICO DE ANATOMIA PATOLOGICA E IMUNOHISTOQUIMICA SESA,5522935,10
GO,CATALAO,UPA CATALAO,7977123,10
GO,INHUMAS,UPA LAZARO ALBERTO DE MORAES,7989458,10
GO,PARANAIGUARA,HOSPITAL MUNICIPAL DR MANUELITO PARANAIGUARA,2383578,10
MA,FORTALEZA DOS NOGUEIRAS,CASA DE SAUDE OVIDIA COELHO NOGUEIRA,2449552,10
MA,MONCAO,HOSPITAL REGIONAL DE MONCAO,7321252,10
MA,SAO LUIS,HOSPITAL DA CRIANCA DR ODORICO AMARAL DE MATOS,2458799,10
MG,ALPINOPOLIS,HOSPITAL CONEGO UBIRAJARA CABRAL,2761114,10
MG,ARAGUARI,HOSPITAL SAO SEBASTIAO,2146096,10
MG,BELO HORIZONTE,HOSPITAL ALBERTO CAVALCANTI,26964,10
MG,BOA ESPERANCA,SANTA CASA DE MISERICORDIA DE BOA ESPERANCA,2775972,10
MG,CAMANDUCAIA,IRMANDADE DA SANTA CASA DE MISERICORDIA DE CAMANDUCAIA,2127725,10
MG,CAMPESTRE,AMBULATORIO PSICOSSOCIAL,2205386,10
MG,ESMERALDAS,ESMERALDAS HOSPITAL MUNICIPAL 25 DE MAIO,3048675,10
MG,SANTA BARBARA,SANTA CASA NOSSA SENHORA DAS MERCES,2144638,10
MG,SAO FRANCISCO,UNIDADE MISTA MUNICIPAL DR BRICIO DE CASTRO DOURADO,2140098,10
MG,SERRO,CASA CARIDADE SANTA TEREZA,2202891,10
MG,TAIOBEIRAS,HOSPITAL SANTO ANTONIO,2098369,10
MG,VARZEA DA PALMA,HOSPITAL MUNICIPAL E PRONTO SOCORRO DE VARZEA DA PALMA,2149710,10
MS,CORUMBA,HOSPITAL CASSEMS UNIDADE DE CORUMBA,9682015,10
MS,ITAPORA,HOSPITAL MUNICIPAL LOURIVAL NASCIMENTO DA SILVA,2651505,10
MT,AGUA BOA,HOSPITAL DO VALE DO ARAGUAIA,2472937,10
MT,CAMPINAPOLIS,HOSPITAL MUNICIPAL DE CAMPINAPOLIS,2395479,10
PA,ANANINDEUA,HOSPITAL CAMILO SALGADO LTDA,2328534,10
PA,SANTAREM,SECRETARIA MUNICIPAL DE SAUDE DE SANTAREM,6620833,10
PB,JOAO PESSOA,HOSPITAL MUNICIPAL VALENTINA,2399636,10
PE,ALIANCA,UNIDADE MISTA BELARMINO L P MELO,2715171,10
PE,LAGOA DOS GATOS,UNIDADE MISTA SANTA ROSA,2353954,10
PE,PETROLINA,HGU HOSPITAL GERAL E URGENCIA,2430495,10
PE,SAO BENTO DO UNA,HOSPITAL MUNICIPAL DE SAO BENTO DO UNA,2352133,10
PI,OEIRAS,HOSP REG DEOLINDO COUTO,2777762,10
PR,CAMBE,SANTA CASA DE CAMBE,2730650,10
PR,DOIS VIZINHOS,HOSPITAL PRO VIDA,5232511,10
PR,IVAIPORA,HOSPITAL REGIONAL DE IVAIPORA,163864,10
PR,IVAIPORA,PRONTO ATENDIMENTO MUNICIPAL DE IVAIPORA,2587734,10
PR,JESUITAS,HOSPITAL JESUITAS,2781751,10
PR,TRES BARRAS DO PARANA,HOSPITAL MUNICIPAL TRES BARRAS,2738201,10
RJ,AREAL,HOSPITAL MUNICIPAL NOSSA SENHORA DAS DORES,2285975,10
RJ,BARRA MANSA,CASA DE SAUDE SANTA MARIA SA,2296977,10
RJ,BOM JARDIM,HOSPITAL DR CELSO ERTHAL,2282801,10
RJ,CAMPOS DOS GOYTACAZES,SES RJ UPA 24H CAMPOS DOS GOYTACAZES,6629989,10
RJ,DUQUE DE CAXIAS,UPA INFANTIL WALTER GARCIA,7427549,10
RJ,MAGE,UNIDADE MISTA MAUA POSTO MARIO PINHEIRO,2278731,10
RJ,RIO DE JANEIRO,HOSPITAL REAL DOR,9151583,10
RJ,RIO DE JANEIRO,IFF FIOCRUZ,2708353,10
RJ,SAO PEDRO DA ALDEIA,PRONTO SOCORRO MUNICIPAL DR JOSE SEVE NETO,2280582,10
RJ,TERESOPOLIS,CENTRO DE DIAGNOSTICOS,2297779,10
RN,CANGUARETAMA,PA CANGUARETAMA,9547916,10
RN,MOSSORO,HOSPITAL MATERNIDADE ALMEIDA CASTRO,2410281,10
RN,NATAL,SECRETARIA ESTADUAL DE SAUDE PUBLICA DO RN,5672465,10
RO,MONTE NEGRO,HOSPITAL MUNICIPAL DE MONTE NEGRO,4003039,10
RO,PORTO VELHO,CENTRO DE TRATAMENTO DO INFARTO ANGIOCENTER,6740804,10
RS,ENCRUZILHADA DO SUL,HOSPITAL SANTA BARBARA,2234432,10
SC,BLUMENAU,SECRETARIA MUNICIPAL DE PROMOCAO DA SAUDE DE BLUMENAU SEMUS,5444462,10
SC,FLORIANOPOLIS,MATERNIDADE CARMELA DUTRA,19283,10
SC,MELEIRO,HOSPITAL SAO JUDAS TADEU,2305534,10
SP,APIAI,HOSPITAL DR ADHEMAR DE BARROS APIAI,2082098,10
SP,CAIEIRAS,VIGILANCIA EPIDEMIOLOGICA MUNICIPAL DE CAIEIRAS,2698684,10
SP,CAMPINAS,VIGILANCIA EM SAUDE SUL,2023601,10
SP,DUARTINA,HOSPITAL SANTA LUZIA DUARTINA,2790637,10
SP,EMBU DAS ARTES,UNIDADE MISTA E MATERNIDADE CENTRAL,2077078,10
SP,ITANHAEM,PRONTO SOCORRO MUNICIPAL DE ITANHAEM,5406390,10
SP,LIMEIRA,CENTRO MUNICIPAL DE EPIDEMIOLOGIA E IMUNIZACOES LIMEIRA,6957641,10
SP,ORLANDIA,CS II DR MIGUEL VITALIANO ORLANDIA,2745690,10
SP,PIRATININGA,SANTA CASA DE PIRATININGA,2791757,10
SP,RIO DAS PEDRAS,CENTRO DE SAUDE II MARIO GOBATTO DE RIO DAS PEDRAS,2053691,10
SP,SANTA BARBARA D'OESTE,HOSPITAL SANTA BARBARA,2079232,10
SP,SAO BERNARDO DO CAMPO,HOSPITAL ANCHIETA,2025361,10
SP,SAO PAULO,PS MUN AUGUSTO GOMES DE MATOS,2037971,10
SP,SOROCABA,HOSPITAL SANTA LUCINDA SOROCABA,2765942,10
SP,VARGEM GRANDE DO SUL,CENTRO DE SAUDE II DR GABRIEL MESQUITA VARGEM GDE DO SUL,2030314,10
AM,MANAUS,HOSPITAL SANTO ALBERTO,2018365,9
BA,CAPIM GROSSO,HOSPITAL DE CAPIM GROSSO,2387727,9
BA,IPIAU,SECRETARIA MUNICIPAL DE SAUDE DE IPIAU,6580718,9
BA,ITABUNA,HOSPITAL MANOEL NOVAES,2525569,9
BA,POCOES,UPA 24H VILOBALDO MACEDO,7592191,9
CE,APUIARES,HOSPITAL SAO SEBASTIAO,2611465,9
CE,BARROQUINHA,SECRETARIA MUNICIPAL DA SAUDE DE BARROQUINHA,6541283,9
CE,FORTALEZA,HOSPITAL DISTRITAL EDMILSON BARROS DE OLIVEIRA MESSEJANA,2516667,9
CE,GUAIUBA,HOSPITAL MUNICIPAL DOM ALOISIO LORSCHEIDER,2664364,9
CE,JUCAS,HOSPITAL MUNICIPAL JOSE FACUNDO FILHO,5077680,9
CE,QUITERIANOPOLIS,MATERNIDADE QUITERIA DE LIMA,2480050,9
ES,GUACUI,SANTA CASA DE MISERICORDIA DE GUACUI,2447029,9
ES,LINHARES,HOSPITAL UNIMED LINHARES,3070328,9
ES,NOVA VENECIA,HOSPITAL SAO MARCOS,2484943,9
GO,GOIANIA,HOSPITAL GOIANIA LESTE,2338440,9
GO,JARAGUA,HOSPITAL ESTADUAL DE JARAGUA SANDINO DE AMORIM,2361949,9
MA,CAXIAS,HOSPITAL REGIONAL DE CAXIAS DR EVERALDO FERREIRA ARAGAO,7891067,9
MA,CONCEICAO DO LAGO-ACU,HOSPITAL MUNICIPAL MANOEL MELO DE MATOS,7597037,9
MA,JOAO LISBOA,HOSPITAL MUNICIPAL DE JOAO LISBOA,2457911,9
MA,MIRINZAL,HOSPITAL MUNICIPAL NOSSA SENHORA DE VITORIA,7667299,9
MG,BELO HORIZONTE,HOSPITAL SOFIA FELDMAN,26794,9
MG,CANAPOLIS,HOSPITAL SEBASTIAO PAES DE ALMEIDA,2121514,9
MG,CARANGOLA,CASA DE CARIDADE DE CARANGOLA,2764776,9
MG,CONGONHAS,POLICLINICA DE CONGONHAS,7538022,9
MG,ERVALIA,HOSPITAL JORGE CAETANO DE MATTOS,2161729,9
MG,JURUAIA,HOSPITAL MONSENHOR GENESIO,2172860,9
MG,NOVA LIMA,NOVA LIMA UPA DR JOSE ADELSON PIRES MOREIRA,9079882,9
MG,TEOFILO OTONI,PRONTO ATENDIMENTO E HOSPITAL UNIMED TRES VALES,7712170,9
MS,AMAMBAI,HOSPITAL REGIONAL AMAMBAI,2558459,9
MT,DIAMANTINO,SECRETARIA MUNICIPAL DE SAUDE,2682753,9
MT,GAUCHA DO NORTE,HOSPITAL MUNICIPAL DE GAUCHA DO NORTE,2391163,9
MT,GUARANTA DO NORTE,HOSPITAL MUNICIPAL NOSSA SENHORA DO ROSARIO,2392046,9
MT,JUINA,UNIDADE DE PRONTO ATENDIMENTO DE JUINA DR SANTOS,7050577,9
MT,RONDONOPOLIS,MATER CLIN,2701626,9
MT,TAPURAH,HOSPITAL MUNICIPAL DE TAPURAH,2398400,9
PA,BRAGANCA,HOSPITAL DAS CLINICAS DE BRAGANCA,2678322,9
PA,MARACANA,HOSPITAL MUNICIPAL DE MARACANA,2793903,9
PA,PALESTINA DO PARA,HOSPITAL MUNICIPAL JOSE HOMOBONO PAES ANDRADE,2312182,9
PA,PORTO DE MOZ,HOSPITAL MUNICIPAL ANA NERY,2711184,9
PA,TOME-ACU,UPA UNIDADE DE PRONTO ATENDIMENTO,9145354,9
PB,CABEDELO,HOSPITAL E MATERNIDADE MUNICIPAL PE ALFREDO BARBOSA,2342170,9
PE,BUIQUE,HOSPITAL MUNICIPAL MARIA DECI MACEDO VALENCA,2639041,9
PE,CARUARU,UNIDADE DE VIGILANCIA EM SAUDE,2346028,9
PE,JUREMA,UNIDADE MISTA SANTA QUITERIA,2346826,9
PE,OLINDA,HOSPITAL CIDADE PATRIMONIO,3015920,9
PE,SERRITA,HOSPITAL GERAL IMACULADA CONCEICAO,2349566,9
PE,TAQUARITINGA DO NORTE,HOSPITAL GERAL SEVERINO PEREIRA DA SILVA,2703378,9
PR,BANDEIRANTES,SANTA CASA DE BANDEIRANTES,2577410,9
PR,CASCAVEL,HOSPITAL DO CANCER DE CASCAVEL UOPECCAN,2740338,9
PR,FRANCISCO BELTRAO,HOSPITAL SAO FRANCISCO,2666731,9
PR,PINHAIS,UNIDADE DE VIGILANCIA SANITARIA E EPIDEMIOLOGICA,2682184,9
PR,PONTA GROSSA,ASSOCIACAO HOSPITALAR BOM JESUS,2686791,9
PR,SANTA MARIANA,CIS CENTRO INTEGRADO EM SAUDE,7278608,9
PR,SANTO ANTONIO DA PLATINA,HOSPITAL NOSSA SENHORA DA SAUDE,2781816,9
PR,SIQUEIRA CAMPOS,SANTA CASA DE SIQUEIRA CAMPOS,2783797,9
RJ,NOVA IGUACU,EMCOR,3051692,9
RJ,RIO DE JANEIRO,AMIU BOTAFOGO,3008576,9
RJ,RIO DE JANEIRO,MATERNIDADE ESCOLA DA UFRJ,2270021,9
RJ,SAO JOAO DA BARRA,SANTA CASA DE MISERICORDIA DE SAO JOAO DA BARRA,2286289,9
RO,CACOAL,HOSPITAL DE URGENCIA E EMERGENCIA REGIONAL DE CACOAL HEURO,7704364,9
RO,PORTO VELHO,PRONTO ATENDIMENTO ANA ADELAIDE,4001028,9
RO,PORTO VELHO,UPA ZONA LESTE,2496461,9
RR,BOA VISTA,AREA DE CUIDADOS HOSPITAL DE CAMPANHA COVID 19,145742,9
RS,CHARRUA,POSTO INDIGENA DO LIGEIRO CHARRUA,2248875,9
RS,NAO-ME-TOQUE,HOSPITAL NOTRE DAME JULIA BILLIART,2246902,9
RS,NONOAI,HOSPITAL COMUNITARIO NONOAI,2228688,9
RS,RONDA ALTA,ASSOCIACAO HOSPITALAR DE RONDA ALTA,2235420,9
RS,TRES COROAS,CENTRO MUNICIPAL DE SAUDE TRES COROAS,2224968,9
SC,FLORIANOPOLIS,CEPONSC,19445,9
SC,IPORA DO OESTE,CENTRO MUNICIPAL DE SAUDE IPORA DO OESTE,2378469,9
SC,NOVA TRENTO,HOSPITAL NOSSA SENHORA DA IMACULADA CONCEICAO,2778831,9
SP,BORBOREMA,CENTRO DE SAUDE III BORBOREMA,2040956,9
SP,BORBOREMA,HOSPITAL SAO SEBASTIAO DE BORBOREMA,2081989,9
SP,IACANGA,SANTA CASA DE IACANGA,2791714,9
SP,IBATE,HOSPITAL MUNICIPAL IBATE,2092395,9
SP,ITAPECERICA DA SERRA,PRONTO SOCORRO JARDIM JACIRA,5435072,9
SP,MAUA,ATPN HOSPITAL DE CAMPANHA DE MAUA,119172,9
SP,MIGUELOPOLIS,CS II DE MIGUELOPOLIS,2745666,9
SP,OSASCO,POLICLINICA LEONIL CRE BORTOLOSSO,8044,9
SP,PRAIA GRANDE,UPA UNIDADE DE PRONTO ATENDIMENTO DR CHARLES ANTUNES BECHAR,7070713,9
SP,SAO JOSE DOS CAMPOS,HOSPITAL MATERNO INFANTIL ANTONINHO DA ROCHA MARMO,9539,9
SP,SAO PAULO,AMA JARDIM PERI,6148344,9
SP,SAO PAULO,HOSPITAL SAGRADA FAMILIA,9490604,9
SP,SAO PAULO,HOSPITAL SERRA MAYOR,2819473,9
SP,VIRADOURO,HOSPITAL E MATERNIDADE SAO VICENTE DE PAULO VIRADOURO,2092093,9
TO,ARAPOEMA,HOSPITAL REGIONAL DE ARAPOEMA,2494167,9
BA,IRECE,HOSPITAL REGIONAL DR MARIO DOURADO SOBRINHO,4026896,8
BA,ITACARE,FUNDACAO HOSPITALAR DE ITACARE,2526557,8
BA,MARACAS,HOSPITAL MUNICIPAL DR ALVARO BEZERRA,2600854,8
BA,POCOES,HOSPITAL SAO LUCAS,2601583,8
BA,VITORIA DA CONQUISTA,HOSPITAL MUNICIPAL ESAU MATOS,2402564,8
CE,ALTO SANTO,HOSPITAL MATERNIDADE SANTA RITA,2527685,8
CE,AMONTADA,HOSPITAL MUNICIPAL DR RIGOBERTO ROMERO DE BARROS,2427184,8
CE,BARREIRA,HOSPITAL DE BARREIRA,2373475,8
CE,BARRO,HOSP MUNIC SANTO ANTONIO,2724359,8
CE,CARNAUBAL,UNID MISTA NOSSA SRA AUXILIADORA,2561298,8
CE,GRANJA,SECRETARIA MUNICIPAL DE SAUDE DE GRANJA,6408311,8
CE,IPU,HOSPITAL MUNICIPAL DR JOSE EVANGELISTA DE OLIVEIRA,5018110,8
CE,QUIXERAMOBIM,UPA 24H DE QUIXERAMOBIM,7710941,8
CE,RUSSAS,HOSPITAL E CASA DE SAUDE DE RUSSAS,2328003,8
ES,IUNA,SANTA CASA DE IUNA,2650533,8
GO,CERES,IMEC UTI,7716273,8
GO,FORMOSA,UPA UNIDADE DE PRONTO ATENDIMENTO,6722253,8
GO,ITUMBIARA,HOSPITAL MUNICIPAL MODESTO DE CARVALHO,2789647,8
GO,JATAI,HOSPITAL PADRE TIAGO NA PROVIDENCIA DE DEUS,7532024,8
GO,PALMEIRAS DE GOIAS,PRONTO SOCORRO MUNICIPAL DE PALMEIRAS DE GOIAS,2383950,8
GO,RIO VERDE,HOSPITAL UNIMED RIO VERDE,7695004,8
MA,ALTO PARNAIBA,HOSPITAL MUNICIPAL DE ALTO PARNAIBA,2453126,8
MA,ARAME,HOSPITAL MUNICIPAL DE ARAME,2463954,8
MA,BEQUIMAO,HOSPITAL MUNICIPAL LIDIA MARTINS,2726688,8
MA,SAO LUIS,HOSPITAL DE TRAUMA E ORTOPEDIA HTO,9364439,8
MG,ARACUAI,HOSPITAL SAO VICENTE DE PAULO ARACUAI,2134276,8
MG,BELO HORIZONTE,SERVICO DE ATENDIMENTO MOVEL DE URGENCIA,2695308,8
MG,CAMPESTRE,SANTA CASA MIS CARIDADE DE CAMPESTRE,2205009,8
MG,JABOTICATUBAS,JABOTICATUBAS FUNDACAO HOSPITALAR SANTO ANTONIO,2117398,8
MG,JANUARIA,HOSPITAL MUNICIPAL DE JANUARIA,2204622,8
MG,MONTE AZUL,HOSPITAL E MATERNIDADE NOSSA SENHORA DAS GRACAS,2119404,8
MG,PARAISOPOLIS,HOSPITAL FREI CAETANO E MATSANTA TEREZA PARAISOPOLIS,2127695,8
MG,PRATAPOLIS,HOSPITAL MUNICIPAL DE PRATAPOLIS,2760967,8
MG,SAO JOAO DEL REI,HOSPITAL NOSSA SENHORA DAS MERCES,2173565,8
MG,UBA,HOSPITAL SAO JANUARIO,2764865,8
MG,UNAI,CASA DE SAUDE E MATERNIDADE SANTA MONICA,2764849,8
MS,CORUMBA,UNIDADE DE PRONTO ATENDIMENTO DR JOSE ABILIO M DE BARROS,7665199,8
MS,IVINHEMA,HOSPITAL MUNICIPAL DE IVINHEMA,2371197,8
MS,RIO VERDE DE MATO GROSSO,HOSPITAL GERAL PAULINO ALVES DA CUNHA,2374439,8
MT,COTRIGUACU,SECRETARIA MUNICIPAL DE SAUDE DE COTRIGUACU,5481201,8
MT,JUARA,HOSPITAL MUNIC DE JUARA HOSP MUNIC ELIDIA MACHIETTO SANTILLO,2392704,8
MT,NOVA XAVANTINA,HOSPITAL MUNICIPAL DR DAERCIO OLIVEIRA MORAES,2395428,8
MT,RIO BRANCO,SECRETARIA MUNICIPAL DE SAUDE DE RIO BRANCO,6364675,8
PA,ABAETETUBA,HOSPITAL REGIONAL DO BAIXO TOCANTINS HOSPITAL SANTA ROSA,73482,8
PA,ANAJAS,HMA TEONILA SOARES ALVES,2313049,8
PA,CAMETA,DIVISAO DE VIGILANCIA EPIDEMOLOGICA,6937977,8
PA,CONCEICAO DO ARAGUAIA,HOSPITAL SAO LUCAS,2328968,8
PA,JURUTI,HOSPITAL NOVE DE ABRIL NA PROVIDENCIA DE DEUS,7712103,8
PA,SAO JOAO DO ARAGUAIA,UNIDADE MISTA DE SAUDE MARIO MARTINS,2312387,8
PB,BAYEUX,UPA 24H UNIDADE DE PRONTO ATENDIMENTO BAYEUX,7927908,8
PE,ALAGOINHA,UNIDADE MISTA MARIA ELIZIARIA PAES,2630524,8
PE,BODOCO,HOSPITAL MUNICIPAL EULINA SILVA LOCIO DE ALENCAR,2345374,8
PE,CEDRO,UNIDADE MISTA JOSE URIAS NOVAES,2352761,8
PE,EXU,HOSPITAL MUNICIPAL JOSE PINTO SARAIVA,2431106,8
PE,GLORIA DO GOITA,UNIDADE MISTA MARIA GAIAO GUERRA,2499843,8
PE,JABOATAO DOS GUARARAPES,SECRETARIA DE SAUDE DO JABOATAO DOS GUARARAPES,2431319,8
PE,LAGOA GRANDE,HOSPITAL MUNICIPAL JOSE HENRIQUE DE LIMA,2639211,8
PE,PAULISTA,SECRETARIA DE SAUDE DO PAULISTA,6463541,8
PE,SANTA CRUZ DO CAPIBARIBE,HOSPITAL MUNICIPAL RAYMUNDO FRANCELINO ARAGAO,2344289,8
PE,SURUBIM,POLICLINICA MUNICIPAL ESTEFANIA FARIAS,9994289,8
PR,CORNELIO PROCOPIO,SANTA CASA DE CORNELIO PROCOPIO,2582449,8
PR,CURITIBA,HOSPITAL MENINO DEUS,2384272,8
PR,CURITIBA,UPA FAZENDINHA,2639467,8
PR,GUAIRA,UNIDADE DE PRONTO ATENDIMENTO UPA,7541228,8
PR,IVAIPORA,HOSPITAL BOM JESUS,2590727,8
PR,MARINGA,HOSPITAL DO CANCER DE MARINGA,2586169,8
PR,NOVA FATIMA,CENTRO DE SAUDE NOVA FATIMA,2577569,8
RJ,MAGE,SES RJ UPA 24H MAGE,7449135,8
RJ,NILOPOLIS,SES RJ HOSPITAL ESTADUAL VEREADOR MELCHIADES CALAZANS,5478898,8
RJ,NITEROI,CENTRO ORTOPEDICO,3587053,8
RJ,NOVA FRIBURGO,UPA 24 HORAS NOVA FRIBURGO,6588425,8
RJ,PETROPOLIS,HOSPITAL SANTA MONICA HSM,2275600,8
RJ,SUMIDOURO,HOSPITAL MUNICIPAL DR JOAO PEREIRA MARTINS,2268051,8
RN,AREIA BRANCA,HOSPITAL MATERNIDADE SARA KUBITSCHECK,2410338,8
RS,CANOAS,DIRETORIA DE VIGILANCIA EM SAUDE,3696162,8
RS,GETULIO VARGAS,HOSPITAL SAO ROQUE DE GETULIO VARGAS,2249510,8
RS,HORIZONTINA,ASSOCIACAO BENEFICENTE OSWALDO CRUZ DE HORIZONTINA,7607547,8
RS,PELOTAS,UCPEL HOSPITAL UNIVERSITARIO SAO FRANCISCO DE PAULA,2253046,8
RS,SALDANHA MARINHO,HOSPITAL MUNICIPAL SALDANHA MARINHO,2263874,8
RS,SANTO AUGUSTO,SECRETARIA MUNICIPAL DE SAUDE DE SANTO AUGUSTO,2260263,8
SC,VIDEIRA,HOSPITAL SANTA MARIA LTDA,2557843,8
SE,BOQUIM,UPA UNIDADE DE PRONTO ATENDIMENTO 24 H DR B MITIDIERI,7015119,8
SE,ESTANCIA,HOSPITAL REGIONAL AMPARO DE MARIA,2423529,8
SP,ALTINOPOLIS,HOSPITAL DE MISERICORDIA ALTINOPOLIS,2716593,8
SP,CARAGUATATUBA,HOSPITAL REGIONAL DO LITORAL NORTE,92894,8
SP,CARAGUATATUBA,SANTOS DUMONT HOSPITAL LITORAL NORTE,7726155,8
SP,CESARIO LANGE,UBS IV LAZARO MENDES DE CASTANHO CESARIO LANGE,2065576,8
SP,CHARQUEADA,HOSP MAT BENEF DE CHARQUEADA,2748436,8
SP,DESCALVADO,CENTRO DE SAUDE VITAL BRASIL DESCALVADO,2028506,8
SP,DIVINOLANDIA,UBS ESF CENTRO DE SAUDE III DE DIVINOLANDIA,2057875,8
SP,OSASCO,HOSPITAL MATERNIDADE AMADOR AGUIAR,8036,8
SP,PIRAPORA DO BOM JESUS,PSF DR FLAVIO DE MORAES DIAS,3211681,8
